Direction,MSE,SSIM,PSNR
EN→TE,3585.480224609375,0.4528195021971193,12.5853302933535
TE→EN,3903.404541015625,0.4005843820981486,12.216367978453347
EN→TE,2047.9482421875,0.4728819844734523,15.017613843533784
TE→EN,3749.8311157226562,0.43112680221882516,12.390686523832228
EN→TE,4479.5606689453125,0.4304620938032024,11.618449380324321
TE→EN,4710.5758056640625,0.4295768576021367,11.400063637309252
EN→TE,2403.6543579101562,0.38818486982240535,14.322083439784109
TE→EN,7526.5118408203125,0.29344640650818477,9.364866116614639
EN→TE,2911.7203979492188,0.424375969771465,13.489306919638002
TE→EN,4411.495300292969,0.3344104267729473,11.684945399727145
EN→TE,2643.7171630859375,0.5694427992518921,13.908653703725829
TE→EN,1768.3438110351562,0.4050598821437638,15.655136540827655
EN→TE,5949.864013671875,0.6481395946088981,10.385733209858836
TE→EN,3186.1985473632812,0.43227246660300295,13.098075255805842
EN→TE,2302.6531982421875,0.5457226268728298,14.508518269119858
TE→EN,3100.8291625976562,0.4472802889584353,13.216025210365569
EN→TE,6998.1031494140625,0.4642566873008315,9.681000213361713
TE→EN,7951.74853515625,0.24924615118963872,9.126177233218165
EN→TE,4384.137634277344,0.3135429451275763,11.711961810693118
TE→EN,3579.6525268554688,0.40882987634592244,12.59239488691402
EN→TE,2557.275390625,0.5477259514415754,14.053028615514954
TE→EN,3079.407470703125,0.43640793327423766,13.246132018219832
EN→TE,3259.6998901367188,0.3400059614617775,12.999027430261094
TE→EN,3126.9708251953125,0.48428633725400955,13.179565315967693
EN→TE,3492.0575561523438,0.41742753323471044,12.699989677263122
TE→EN,4762.200744628906,0.4190284198031144,11.352726622713194
EN→TE,8819.825073242188,0.2922130528775595,8.676203891690857
TE→EN,8553.274780273438,0.27387557780532085,8.809479365834859
EN→TE,12147.099670410156,0.45232017043659367,7.286077658553798
TE→EN,2545.8695678710938,0.42371655020621385,14.072442111201436
EN→TE,2551.735595703125,0.4504962675175945,14.062446889677194
TE→EN,2177.4485473632812,0.512225520908078,14.751324593513393
EN→TE,2277.2578735351562,0.5310164880160054,14.55668148561007
TE→EN,4204.541687011719,0.3786748829729014,11.893616981060742
EN→TE,5661.840759277344,0.37515035437450706,10.601227103106858
TE→EN,2588.15234375,0.3583216962680127,14.0009052468936
EN→TE,4189.342041015625,0.3859172155974075,11.909345408596568
TE→EN,3178.0480346679688,0.4788114160460025,13.109199037946663
EN→TE,3538.4573974609375,0.3505496789271566,12.642663897408235
TE→EN,4888.71240234375,0.4177160387172693,11.2388587192663
